id	token
989	huitante
988	huitante
979	huitante
978	huitante
977	huitante
976	huitante
969	huitante
968	huitante
959	huitante
939	huitante
937	huitante
936	huitante
74	quatre-vingts
73	quatre-vingts
72	quatre-vingts
71	huitante
70	huitante
64	quatre-vingts
63	quatre-vingts
62	huitante
61	huitante
60	huitante
52	huitante
51	huitante
50	huitante
40	huitante
